framework,scenario,N,T,yield_interval_ms,cancel_after_ms,cores,cpu_duration_s,n_requests,n_cancelled,cancel_rate,L1_mean,L1_sd,L1_median,L1_min,L1_max,L2_mean,L2_sd,L2_median,L2_min,L2_max,waste_mean,waste_sd,waste_median,waste_min,waste_max
aspnet,cpu,1,1,10,5000,1,15,10,10,1.0,21.7,1.947,21.0,20,27,0.2,0.422,0.0,0,1,0.0,0.0,0.0,0.0,0.0
webflux,cpu,1,1,10,5000,1,15,10,10,1.0,1.1,0.316,1.0,1,2,3.6,2.271,2.5,1,8,0.0,0.0,0.0,0.0,0.001
aspnet,cpu,1,1,50,5000,1,15,10,10,1.0,102.6,4.427,101.0,100,115,0.3,0.483,0.0,0,1,0.0,0.0,0.0,0.0,0.0
webflux,cpu,1,1,50,5000,1,15,10,10,1.0,1.2,0.422,1.0,1,2,4.8,6.973,2.0,1,24,0.0,0.001,0.0,0.0,0.002
aspnet,cpu,1,1,100,5000,1,15,10,10,1.0,216.8,34.247,201.0,201,300,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
webflux,cpu,1,1,100,5000,1,15,10,10,1.0,1,0.0,1.0,1,1,4.4,3.718,3.0,1,13,0.0,0.0,0.0,0.0,0.001
aspnet,cpu,1,1,200,5000,1,15,10,10,1.0,426.9,63.681,401.0,400,600,0.4,0.516,0.0,0,1,0.0,0.0,0.0,0.0,0.0
webflux,cpu,1,1,200,5000,1,15,10,10,1.0,1,0.0,1.0,1,1,10.1,22.507,2.5,1,74,0.001,0.002,0.0,0.0,0.007
aspnet,cpu,1,1,500,5000,1,15,10,10,1.0,1006.7,17.683,1001.0,1000,1057,0.3,0.483,0.0,0,1,0.0,0.0,0.0,0.0,0.0
webflux,cpu,1,1,500,5000,1,15,10,10,1.0,1,0.0,1.0,1,1,34.4,96.882,3.0,1,310,0.003,0.01,0.0,0.0,0.031
