framework,N,run_index,cancel_after_ms,n_requests,n_detected,detection_rate,outbound_grpc_cancelled,outbound_grpc_cancel_latency_ms,downstream_grpc_confirmed,downstream_grpc_confirm_latency_ms
aspnet,1,1,2000,1,1,1.0,1.0,8.0,1,64
aspnet,1,2,2000,1,1,1.0,1.0,2.0,1,8
aspnet,1,3,2000,1,1,1.0,1.0,1.0,1,5
aspnet,1,4,2000,1,1,1.0,1.0,1.0,1,8
aspnet,1,5,2000,1,1,1.0,1.0,1.0,1,8
aspnet,1,6,2000,1,1,1.0,1.0,1.0,1,4
aspnet,1,7,2000,1,1,1.0,1.0,1.0,1,5
aspnet,1,8,2000,1,1,1.0,1.0,1.0,1,4
aspnet,1,9,2000,1,1,1.0,1.0,1.0,1,6
aspnet,1,10,2000,1,1,1.0,1.0,1.0,1,8
webflux,1,1,2000,1,1,1.0,1.0,0.0,1,16
webflux,1,2,2000,1,1,1.0,1.0,0.0,1,10
webflux,1,3,2000,1,1,1.0,1.0,0.0,1,12
webflux,1,4,2000,1,1,1.0,1.0,0.0,1,8
webflux,1,5,2000,1,1,1.0,1.0,0.0,1,6
webflux,1,6,2000,1,1,1.0,1.0,0.0,1,7
webflux,1,7,2000,1,1,1.0,1.0,1.0,1,7
webflux,1,8,2000,1,1,1.0,1.0,0.0,1,6
webflux,1,9,2000,1,1,1.0,1.0,0.0,1,7
webflux,1,10,2000,1,1,1.0,1.0,0.0,1,10
