framework,trial,stage3_duration_ms,cancel_at_ms,detected,propagated,log_shows_success,ghost_write_confirmed,outer_exception_type,inner_exception_type,inner_sql_state
aspnet,1,5000,3000,1,1,0,0,OperationCanceledException,PostgresException,57014
aspnet,2,5000,3000,1,1,0,0,OperationCanceledException,PostgresException,57014
aspnet,3,5000,3000,1,1,0,0,OperationCanceledException,PostgresException,57014
aspnet,4,5000,3000,1,1,0,0,OperationCanceledException,PostgresException,57014
aspnet,5,5000,3000,1,1,0,0,OperationCanceledException,PostgresException,57014
aspnet,6,5000,3000,1,1,0,0,OperationCanceledException,PostgresException,57014
aspnet,7,5000,3000,1,1,0,0,OperationCanceledException,PostgresException,57014
aspnet,8,5000,3000,1,1,0,0,OperationCanceledException,PostgresException,57014
aspnet,9,5000,3000,1,1,0,0,OperationCanceledException,PostgresException,57014
aspnet,10,5000,3000,1,1,0,0,OperationCanceledException,PostgresException,57014
aspnet,11,5000,3000,1,1,0,0,OperationCanceledException,PostgresException,57014
aspnet,12,5000,3000,1,1,0,0,OperationCanceledException,PostgresException,57014
aspnet,13,5000,3000,1,1,0,0,OperationCanceledException,PostgresException,57014
aspnet,14,5000,3000,1,1,0,0,OperationCanceledException,PostgresException,57014
aspnet,15,5000,3000,1,1,0,0,OperationCanceledException,PostgresException,57014
aspnet,16,5000,3000,1,1,0,0,OperationCanceledException,PostgresException,57014
aspnet,17,5000,3000,1,1,0,0,OperationCanceledException,PostgresException,57014
aspnet,18,5000,3000,1,1,0,0,OperationCanceledException,PostgresException,57014
aspnet,19,5000,3000,1,1,0,0,OperationCanceledException,PostgresException,57014
aspnet,20,5000,3000,1,1,0,0,OperationCanceledException,PostgresException,57014
webflux,1,5000,3000,1,1,0,1,None,None,None
webflux,2,5000,3000,1,1,0,1,None,None,None
webflux,3,5000,3000,1,1,0,1,None,None,None
webflux,4,5000,3000,1,1,0,1,None,None,None
webflux,5,5000,3000,1,1,0,1,None,None,None
webflux,6,5000,3000,1,1,0,1,None,None,None
webflux,7,5000,3000,1,1,0,1,None,None,None
webflux,8,5000,3000,1,1,0,1,None,None,None
webflux,9,5000,3000,1,1,0,1,None,None,None
webflux,10,5000,3000,1,1,0,1,None,None,None
webflux,11,5000,3000,1,1,0,1,None,None,None
webflux,12,5000,3000,1,1,0,1,None,None,None
webflux,13,5000,3000,1,1,0,1,None,None,None
webflux,14,5000,3000,1,1,0,1,None,None,None
webflux,15,5000,3000,1,1,0,1,None,None,None
webflux,16,5000,3000,1,1,0,1,None,None,None
webflux,17,5000,3000,1,1,0,1,None,None,None
webflux,18,5000,3000,1,1,0,1,None,None,None
webflux,19,5000,3000,1,1,0,1,None,None,None
webflux,20,5000,3000,1,1,0,1,None,None,None
mvc,1,5000,3000,0,0,0,1,,,
mvc,2,5000,3000,0,0,0,1,,,
mvc,3,5000,3000,0,0,0,1,,,
mvc,4,5000,3000,0,0,0,1,,,
mvc,5,5000,3000,0,0,0,1,,,
mvc,6,5000,3000,0,0,0,1,,,
mvc,7,5000,3000,0,0,0,1,,,
mvc,8,5000,3000,0,0,0,1,,,
mvc,9,5000,3000,0,0,0,1,,,
mvc,10,5000,3000,0,0,0,1,,,
mvc,11,5000,3000,0,0,0,1,,,
mvc,12,5000,3000,0,0,0,1,,,
mvc,13,5000,3000,0,0,0,1,,,
mvc,14,5000,3000,0,0,0,1,,,
mvc,15,5000,3000,0,0,0,1,,,
mvc,16,5000,3000,0,0,0,1,,,
mvc,17,5000,3000,0,0,0,1,,,
mvc,18,5000,3000,0,0,0,1,,,
mvc,19,5000,3000,0,0,0,1,,,
mvc,20,5000,3000,0,0,0,1,,,
